55,66,12,12,12,67,71,12,12,58,12,12,68,71,12,59,12,59,56,59,56,12,55,68,69,55,12,12,69,12,55,58,67,12,58,67,12,12,12,68,12,12,12,60,12,55,67,68,60,71,12,56,12,12,70,12,55,12,12,68,57,67,60,66,12,12,67,12,69,12,60,12,12,12,70,12,12,67,68,67,66,67,12,58,12,59,66,60,12,12,67,12,70,66,57,66,66,60,70,56,69,68,55,12,67,60,12,70,12,71,70,70,12,57,66,12,12,71,71,68,12,70,71,12,12,70,12,67
12,12,57,55,60,66,55,68,56,59,12,70,12,68,57,67,57,12,67,55,58,12,59,57,69,59,56,71,60,57,66,71,12,70,71,12,66,67,69,56,58,66,56,71,12,66,12,12,12,12,69,12,60,12,59,71,12,69,67,12,12,12,12,58,12,12,69,69,66,60,57,67,12,56,12,12,71,68,56,12,58,70,12,12,12,12,59,69,56,12,67,12,57,66,57,57,12,12,70,12,12,60,67,12,12,67,12,12,55,68,12,66,12,12,12,12,71,68,12,55,70,12,12,12,59,12,56,68
67,12,59,12,12,12,12,12,12,66,12,55,12,55,55,12,12,12,68,12,69,59,12,60,71,69,12,69,12,60,12,70,60,68,12,59,59,12,12,70,66,12,12,58,58,12,12,70,59,55,56,66,71,56,60,59,70,55,58,12,59,12,12,56,56,12,55,69,55,12,57,71,71,68,12,67,68,59,12,12,71,12,56,12,56,57,60,59,12,12,56,56,12,12,12,56,56,58,68,12,66,70,12,12,12,66,69,12,12,12,70,68,12,58,12,68,59,12,71,12,12,60,12,12,12,55,66,12
60,12,12,12,12,69,66,68,12,58,67,67,12,12,12,12,68,12,70,12,66,69,59,12,12,12,56,55,57,68,12,12,12,12,69,12,71,12,56,12,12,12,12,56,71,70,55,68,12,56,12,12,12,12,12,12,12,12,12,55,58,12,12,12,12,12,12,60,70,69,58,12,12,66,12,70,68,70,55,55,55,12,12,12,59,57,58,69,69,12,12,12,55,12,68,12,58,67,12,12,12,12,71,55,12,70,12,12,57,12,68,12,12,69,12,12,67,55,55,12,56,12,60,12,58,60,59,58
58,69,71,12,59,67,12,12,12,57,12,71,12,67,12,56,69,12,70,67,58,55,12,66,56,57,60,70,12,57,12,12,66,12,67,12,12,70,60,12,12,66,12,59,66,12,60,12,12,12,69,12,70,68,12,12,60,58,57,66,12,57,69,68,12,56,55,12,56,57,12,60,57,12,69,12,56,66,55,58,12,12,12,71,67,12,12,12,59,67,66,69,12,69,12,56,67,12,66,59,69,55,12,12,12,71,70,12,58,69,12,67,71,58,69,68,12,12,59,57,66,12,59,58,68,69,60,56
12,67,56,55,56,55,12,12,66,70,57,68,12,69,68,55,12,60,68,12,12,12,60,56,60,70,66,12,58,12,12,60,58,12,12,12,12,12,12,66,12,60,12,12,70,69,70,12,12,12,55,12,12,59,58,12,12,68,57,12,55,68,58,67,12,12,59,71,55,57,12,67,55,12,69,60,55,12,12,12,71,69,12,12,69,70,66,55,12,71,12,67,12,12,68,12,71,12,71,12,12,12,68,12,69,56,67,70,71,58,12,57,57,12,12,66,56,69,60,67,69,59,69,12,12,12,70,12
12,67,12,70,67,12,12,12,12,12,56,12,68,60,12,12,12,12,67,56,67,59,66,66,66,58,12,60,12,12,58,55,12,12,55,12,56,55,12,12,71,69,12,56,12,12,12,12,12,12,58,66,69,67,12,12,12,12,12,68,66,56,71,55,12,70,66,12,56,12,57,12,69,12,12,12,66,66,12,68,66,68,12,60,12,12,58,66,70,12,12,70,57,12,56,56,12,58,56,12,12,58,12,12,58,68,12,66,12,12,55,12,58,68,12,12,12,59,58,60,57,71,12,12,58,60,60,67
12,12,12,59,66,66,12,12,69,12,68,67,12,58,58,55,59,12,12,71,12,12,57,55,12,12,70,12,12,57,60,12,56,12,12,71,12,56,58,12,60,71,12,66,56,69,12,70,59,67,12,59,12,12,66,12,12,12,60,12,71,66,12,12,56,12,12,12,57,12,12,12,12,70,57,12,12,12,70,67,58,58,12,12,12,67,59,57,12,58,66,59,66,59,12,12,12,12,12,12,12,67,12,58,67,12,67,68,12,12,57,68,12,12,12,69,69,66,55,12,12,12,69,12,69,70,12,12
71,56,69,57,12,12,60,12,12,67,58,57,12,12,67,67,69,58,70,68,12,12,59,12,69,67,59,12,12,55,12,12,12,12,70,12,57,58,12,58,12,59,12,12,55,12,12,12,12,12,68,12,68,12,12,12,56,12,12,71,56,12,12,60,67,12,71,68,12,12,12,12,12,12,12,59,12,71,67,12,12,12,12,59,12,58,12,58,12,12,12,58,71,12,12,12,12,12,12,70,59,12,71,12,12,67,12,66,12,55,57,12,56,71,12,12,60,12,12,55,12,58,59,68,57,70,12,67
70,12,12,57,12,55,68,12,12,67,12,69,66,12,12,55,12,12,68,59,71,57,12,60,69,57,60,12,57,55,68,12,12,70,57,55,12,55,60,12,12,12,70,12,70,58,59,12,12,12,69,12,56,12,12,70,57,69,57,56,69,12,12,12,12,12,12,12,58,12,68,12,70,55,66,60,12,12,67,69,60,12,12,12,55,68,71,12,12,70,56,12,12,12,69,66,69,69,55,68,12,12,12,12,66,12,12,60,70,60,12,12,59,12,60,66,58,12,12,69,12,57,12,12,12,12,68,12
12,69,69,58,12,12,66,57,12,70,58,70,12,12,55,71,12,12,59,12,71,70,12,12,60,66,12,57,55,67,67,55,60,12,66,55,60,12,58,59,12,12,66,12,12,56,12,57,12,12,12,58,59,12,69,12,59,12,68,12,55,12,12,12,12,71,12,60,67,60,12,70,56,71,69,60,12,12,12,60,57,12,57,59,12,55,12,12,55,60,67,12,71,58,60,66,55,56,12,12,12,57,69,12,12,57,71,56,12,12,12,69,67,12,12,56,60,57,12,59,12,60,68,57,57,57,12,12
70,56,55,12,67,58,12,58,12,60,12,60,12,12,12,56,12,60,12,58,68,71,57,12,67,66,67,71,12,12,57,56,55,12,12,71,12,70,71,12,12,12,12,12,56,69,12,69,57,12,57,55,70,68,12,58,12,68,12,66,60,12,69,71,60,12,12,12,66,58,68,57,57,56,12,12,71,12,12,57,12,59,59,59,12,12,12,12,12,12,12,56,70,12,12,59,60,55,60,59,67,12,12,12,57,12,60,12,12,58,57,12,60,56,69,58,60,70,56,71,66,12,60,58,58,60,59,66
12,12,12,71,71,12,55,58,12,12,55,12,60,12,69,70,12,55,69,71,67,57,12,12,12,12,12,66,12,12,12,67,12,12,66,71,55,12,71,60,12,58,12,57,55,56,12,59,12,67,12,55,69,56,12,66,69,12,58,12,12,12,57,12,70,12,56,12,12,57,12,12,12,12,12,70,70,12,56,12,69,12,12,12,12,56,12,12,55,12,69,12,12,70,57,12,12,70,12,68,60,71,12,55,12,12,12,56,12,12,12,55,68,60,67,12,12,12,56,66,56,12,55,68,12,12,55,55
12,71,12,67,66,58,12,12,55,66,70,59,59,12,59,66,66,56,55,57,55,12,71,70,55,12,55,12,12,69,12,58,69,12,12,57,69,12,57,70,68,12,12,55,59,12,12,12,12,12,12,12,12,12,12,12,69,59,12,12,71,12,12,12,69,70,59,69,12,57,12,12,12,12,68,12,66,12,67,70,67,68,67,71,56,12,69,58,12,71,12,12,58,12,59,70,12,12,12,12,55,12,56,12,58,70,57,55,12,57,12,55,57,12,12,12,12,60,70,12,12,12,12,12,12,71,60,68
69,68,69,69,56,71,69,67,12,68,12,12,68,12,57,12,12,70,67,12,68,58,68,60,60,12,12,12,59,66,12,12,57,12,71,12,70,12,68,70,60,60,12,12,67,12,55,12,59,12,55,59,12,12,12,12,12,66,12,66,70,12,12,69,71,12,68,57,59,12,12,66,12,55,55,55,71,55,58,68,71,12,57,12,69,58,55,57,71,59,57,56,55,70,12,12,12,69,55,55,12,58,12,60,68,57,56,58,12,68,56,12,12,69,66,67,12,59,12,12,58,70,70,59,59,12,56,71
